city,area_km,num_nodes,num_edges,degree_avg,edge_length_total,edge_length_avg,node_density_km,edge_density_km,central_sp_mean,central_sp_std,edge_length_std,degree_std
Lisbon,9.305362716112304,9680.0,20101.0,4.153099173553719,1844095.2940000047,91.74147027511093,104.02603633321041,19817.55413796972,5144.702678478102,2104.385097358541,117.5968607964292,1.636014448143479
Manchester,14.701653995885634,14498.0,34463.0,4.754172989377845,2675307.9420000105,77.6284113977312,98.6147545307308,18197.326251513703,6181.809573057782,2992.5091501019983,70.56733129750292,1.9806944932772403
Milan,20.029964487360186,13375.0,26519.0,3.9654579439252338,2580354.187999989,97.30209238659029,66.77495613354796,12882.470109361948,5579.40971645722,2390.7203903649515,120.01465409082128,1.5129566652209923
Munich,35.7238070556719,14011.0,36268.0,5.1770751552351735,4647808.241000009,128.15176577147923,39.22034395204658,13010.3945353777,7500.448147681741,3010.014872397663,129.70201523872208,1.750141755475187
Naples,15.554783362495847,7760.0,15757.0,4.0610824742268035,1816922.6999999785,115.30892301833971,49.88819078451546,11680.797203391221,5870.563227439185,2672.375893399018,157.90147031693056,1.6905977267539969
"New York, New York",121.34773045801084,55288.0,140922.0,5.097742728982781,16420804.700000172,116.52406792410109,45.56162673279739,13532.024569410596,16891.781313519878,7286.276693299668,109.51893612347365,1.7950428073933846
"San Francisco, California",15.223142803769875,9581.0,26746.0,5.583133284625824,3118291.7660000212,116.58908868615946,62.937069720106344,20483.88960279479,5229.288453537045,2298.969102822637,104.82947545084404,1.990619243413819
"Los Angeles, California",159.58088933647562,51077.0,139975.0,5.480940540752199,21231938.765000165,151.6837918556897,32.00696537810637,13304.812909165275,22829.89004221952,6972.81791829943,131.04463376821062,2.0536798693410785
"Boston, Massachusetts",18.051202008779274,11139.0,25595.0,4.595565131519885,2605175.817999987,101.78456018753613,61.70780203214447,14432.145940934844,5886.171148428353,2942.066024865192,106.03750749031806,1.7706582737394752
"Washington, DC",18.292674594260312,10027.0,27171.0,5.419567168644661,3274207.63500002,120.50375897096242,54.81429163533128,17899.009891245576,5627.796573303938,2560.230938262994,109.63883571362229,1.8658721022993432
"Seattle, Washington",30.802295704990925,15685.0,45786.0,5.838189352884923,5568247.230999997,121.61462523478785,50.92152919452217,18077.377362810555,8012.549337630017,3546.2317215273024,104.09026311552591,2.0488701497168345
"San Diego, Texas",0.4389228531536207,274.0,936.0,6.832116788321168,110995.35000000008,118.58477564102571,62.42554882511471,25288.12277659016,1121.7281386861314,515.507318646076,46.01749673188333,1.719655979284931
"Chicago, Illinois",75.4906349531969,28492.0,75961.0,5.332093219149235,10456230.256999893,137.65261459169696,37.742429928778094,13851.029685314743,13073.816516630337,5849.174238975298,109.81784710166988,1.7925060404329556
"Houston, Texas",204.1061939259013,59210.0,148793.0,5.025941563925013,20553282.81399986,138.13339884268655,29.00940871078885,10069.896664410644,16319.475177344488,8207.013328785548,157.52460550585562,1.8688579271066024
"Philadelphia, Philadelphia",49.384433870364134,24817.0,61399.0,4.9481403876375065,6775920.402999978,110.35880719555657,50.25267691666871,13720.761527381292,8935.743506984254,4290.716765710855,108.9238788012414,1.7585010333057416
"Phoenix, Arizona",154.33162252179943,47780.0,122925.0,5.145458350774383,16891275.848000035,137.4112332560507,30.959306472172322,10944.79250071652,17147.974600866404,8832.027679745632,137.18667027372146,1.910629114319477
"Dallas, Texas",120.14608234950742,36139.0,92494.0,5.118791333462465,13371145.143999888,144.5622974895657,30.07921631174865,11129.072943970783,13270.834892904804,6328.212954532587,156.13127264822867,1.8083702115262725
"Detroit, Michigan",45.687593461118745,20688.0,59724.0,5.773781902552204,8471280.619000014,141.84047650860649,45.281439517285996,18541.75275440865,9680.179677600658,4454.142001179353,110.05147720538723,1.978437311702798
"Memphis, Tennessee",90.90165272956921,24327.0,64076.0,5.267891643030378,9958992.772999926,155.42469525251147,26.76188965713571,10955.788452634355,12261.330286161321,5310.0005957291105,153.28404271890068,1.9609911970831377
