p,q,edge_length_avg,edge_length_std,in_degree_avg,in_degree_std,out_degree_avg,out_degree_std,area_km,central_sp_mean,central_sp_std
0.30000000000000004,0.5,1.2319471747321604,0.20561170604309367,3.018099547511312,1.333399021060954,3.018099547511312,1.417293963909937,4e-05,12.035871196783756,5.362507566760671
0.30000000000000004,0.6000000000000001,1.200302093346383,0.20699496379586246,2.68552036199095,1.187498349907634,2.68552036199095,1.3329171647695988,4e-05,14.417859942746844,6.631686955854802
0.30000000000000004,0.7000000000000001,1.1804906486645814,0.20538938702626686,2.253393665158371,1.0967041425331914,2.253393665158371,1.1471190645243254,4e-05,14.546038022753523,5.7495137844487525
0.30000000000000004,0.8,1.1303198225477926,0.19234599501019672,1.9343891402714932,0.9406569441506817,1.9343891402714932,1.003497599538861,4e-05,8.586328568012593,3.957214232282489
0.30000000000000004,0.9,1.0850666779101794,0.1673303080907516,1.6931818181818181,0.8707096706586601,1.6931818181818181,0.8575593611239047,4e-05,9.770620839744025,5.171467743335563
0.4,0.1,1.296128370005959,0.18699833030677093,4.095022624434389,1.3078332135330797,4.095022624434389,1.6830328755320316,4e-05,10.062815278984246,3.9351416286067327
0.4,0.2,1.2885504611223915,0.1904209699900731,3.751131221719457,1.3425042736849326,3.751131221719457,1.5965350167484387,4e-05,11.098682593201712,3.9773568660814833
0.4,0.30000000000000004,1.272887258511679,0.19638265609857294,3.4547511312217196,1.2580914787222595,3.4547511312217196,1.5526907185515395,4e-05,10.473349454349965,4.001508605817648
0.4,0.4,1.267557114539461,0.1980883035693278,3.0927601809954752,1.254130580371355,3.0927601809954752,1.4607975511593898,4e-05,11.910139478199714,4.311677390989444
0.4,0.5,1.2404153558678237,0.20441075721731075,2.841628959276018,1.2079244634444675,2.841628959276018,1.4229168524956444,4e-05,0.0,0.0
0.4,0.6000000000000001,1.2195331880577405,0.20673365286214063,2.48868778280543,1.2037304749679545,2.48868778280543,1.2784707342593054,4e-05,14.640483735365596,7.944906085998029
0.4,0.7000000000000001,1.191351138516347,0.2065066065226521,2.0520361990950224,1.05911596302011,2.0520361990950224,1.1393845757071266,4e-05,11.21136736083858,5.133826121900683
0.4,0.8,1.1498765306232266,0.19904250107429816,1.8257918552036199,1.0107856950816163,1.8257918552036199,1.0351142338108075,4e-05,9.078164292143308,4.08600274086383
0.4,0.9,1.0880762274383469,0.16948435351928273,1.4817351598173516,0.8431213496436764,1.4817351598173516,0.8565539448588657,4e-05,4.796918160678027,2.788388435223843
0.5,0.1,1.3099410510118128,0.17977300065070143,3.909502262443439,1.2186151275855728,3.909502262443439,1.6132792343558913,4e-05,10.31151160636589,3.932945715102834
